date,home_team,home_pen,home_goals,x,away_goals,away_pen,away_team,match
2025-06-14 21h,Al Ahly,,0,x,0,,Inter Miami,al_ahly-vs-inter_miami
2025-06-15 13h,Bayern de Munique,,10,x,0,,Auckland City,bayern_de_munique-vs-auckland_city
2025-06-15 16h,Paris Saint-Germain,,4,x,0,,Atlético de Madrid,paris_saint-germain-vs-atlético_de_madrid
2025-06-15 19h,Palmeiras,,0,x,0,,Porto,palmeiras-vs-porto
2025-06-15 23h,Botafogo,,2,x,1,,Seattle Sounders,botafogo-vs-seattle_sounders
2025-06-16 16h,Chelsea,,2,x,0,,Los Angeles FC,chelsea-vs-los_angeles_fc
2025-06-16 19h,Boca Juniors,,2,x,2,,Benfica,boca_juniors-vs-benfica
2025-06-16 22h,Flamengo,,2,x,0,,Espérance,flamengo-vs-espérance
2025-06-17 13h,Fluminense,,0,x,0,,Borussia Dortmund,fluminense-vs-borussia_dortmund
2025-06-17 16h,River Plate,,3,x,1,,Urawa Reds,river_plate-vs-urawa_reds
2025-06-17 19h,Ulsan HD,,0,x,1,,Mamelodi Sundowns,ulsan_hd-vs-mamelodi_sundowns
2025-06-17 22h,Monterrey,,1,x,1,,Internazionale,monterrey-vs-internazionale
2025-06-18 13h,Manchester City,,2,x,0,,Wydad Casablanca,manchester_city-vs-wydad_casablanca
2025-06-18 16h,Real Madrid,,1,x,1,,Al-Hilal,real_madrid-vs-al-hilal
2025-06-18 19h,Pachuca,,1,x,2,,RB Salzburg,pachuca-vs-rb_salzburg
2025-06-18 22h,Al-Ain,,0,x,5,,Juventus,al-ain-vs-juventus
2025-06-19 13h,Palmeiras,,2,x,0,,Al Ahly,palmeiras-vs-al_ahly
2025-06-19 16h,Inter Miami,,2,x,1,,Porto ,inter_miami-vs-porto
2025-06-19 19h,Seattle Sounders,,1,x,3,,Atlético de Madrid,seattle_sounders-vs-atlético_de_madrid
2025-06-19 22h,Paris Saint-Germain,,0,x,1,,Botafogo,paris_saint-germain-vs-botafogo
2025-06-20 13h,Benfica,,6,x,0,,Auckland City,benfica-vs-auckland_city
2025-06-20 15h,Flamengo,,3,x,1,,Chelsea,flamengo-vs-chelsea
2025-06-20 19h,Los Angeles FC,,0,x,1,,Espérance,los_angeles_fc-vs-espérance
2025-06-20 22h,Bayern de Munique,,2,x,1,,Boca Juniors,bayern_de_munique-vs-boca_juniors
2025-06-21 13h,Mamelodi Sundowns,,3,x,4,,Borussia Dortmund,mamelodi_sundowns-vs-borussia_dortmund
2025-06-21 16h,Internazionale,,2,x,1,,Urawa Reds,internazionale-vs-urawa_reds
2025-06-21 19h,Fluminense,,4,x,2,,Ulsan HD,fluminense-vs-ulsan_hd
2025-06-21 22h,River Plate,,0,x,0,,Monterrey,river_plate-vs-monterrey
2025-06-22 13h,Juventus,,4,x,1,,Wydad Casablanca,juventus-vs-wydad_casablanca
2025-06-22 16h,Real Madrid,,3,x,1,,Pachuca,real_madrid-vs-pachuca
2025-06-22 19h,RB Salzburg,,0,x,0,,Al-Hilal,rb_salzburg-vs-al-hilal
2025-06-22 22h,Manchester City,,6,x,0,,Al-Ain,manchester_city-vs-al-ain
2025-06-23 16h,Atlético de Madrid,,,x,,,Botafogo,atlético_de_madrid-vs-botafogo
2025-06-23 16h,Seattle Sounders,,,x,,,Paris Saint-Germain,seattle_sounders-vs-paris_saint-germain
2025-06-23 22h,Porto,,,x,,,Al Ahly,porto-vs-al_ahly
2025-06-23 22h,Inter Miami,,,x,,,Palmeiras,inter_miami-vs-palmeiras
2025-06-24 16h,Auckland City,,,x,,,Boca Juniors,auckland_city-vs-boca_juniors
2025-06-24 16h,Benfica,,,x,,,Bayern de Munique,benfica-vs-bayern_de_munique
2025-06-24 22h,Espérance,,,x,,,Chelsea,espérance-vs-chelsea
2025-06-24 22h,Los Angeles FC,,,x,,,Flamengo,los_angeles_fc-vs-flamengo
2025-06-25 16h,Mamelodi Sundowns,,,x,,,Fluminense,mamelodi_sundowns-vs-fluminense
2025-06-25 16h,Borussia Dortmund,,,x,,,Ulsan HD,borussia_dortmund-vs-ulsan_hd
2025-06-25 22h,Urawa Reds,,,x,,,Monterrey,urawa_reds-vs-monterrey
2025-06-25 22h,Internazionale,,,x,,,River Plate,internazionale-vs-river_plate
2025-06-26 16h,Juventus,,,x,,,Manchester City,juventus-vs-manchester_city
2025-06-26 16h,Wydad Casablanca,,,x,,,Al-Ain,wydad_casablanca-vs-al-ain
2025-06-26 22h,RB Salzburg,,,x,,,Real Madrid,rb_salzburg-vs-real_madrid
2025-06-26 22h,Al-Hilal,,,x,,,Pachuca,al-hilal-vs-pachuca
